"model","iter","median_l2","q25_l2","q75_l2","mean_precision","mean_recall","mean_f1","mean_jaccard_prev","mean_hamming_prev","median_window_union_size","median_window_union_false_size","effective_support_width_all","effective_support_width_noise"
"linear",25,2.65672206981985,2.60148409230775,2.73859323340555,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",26,2.60301471434791,2.54603802542952,2.68298419350586,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",27,2.5495308271718,2.49149764947273,2.62896762897977,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",28,2.49614159354331,2.43636235731473,2.57639512135976,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",29,2.44394313488425,2.38382721602157,2.52516447004783,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",30,2.39297024489533,2.33343488129848,2.47435772905841,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",31,2.34249747950921,2.28130867639224,2.42441253715425,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",32,2.29357650233801,2.23034500713479,2.37567521331348,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",33,2.24691576824618,2.1812762605564,2.32809355995069,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",34,2.20012011739233,2.13464300049615,2.28164706651111,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",35,2.15493203986482,2.08845164268251,2.23638672199332,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",36,2.11101233621456,2.04481765128291,2.19217249647319,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",37,2.0682511676138,2.00223581448047,2.14943990109656,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",38,2.0261264929765,1.96032095200149,2.10939419459291,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",39,1.9845718073371,1.91971541201488,2.06941196147191,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",40,1.94404942701259,1.88021617872485,2.03041781376936,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",45,1.76132520678055,1.69580903695775,1.84305723199505,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",50,1.59608089617824,1.53652309530448,1.67399513229607,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",55,1.45044581260959,1.39176244262028,1.53144036689532,0.499,0.998,0.665333333333333,0,0,20,10,130.815861396318,424.633646176503
"linear",60,1.31511775459602,1.2625879569148,1.39404870620115,0.499,0.998,0.665333333333333,0.000952380952380952,0.02,20,10,130.777114924253,424.382640020967
