"arm","model","q","frac_stage1","frac_stage2","T1","T2","n1","n2","b2","s_ref","K1_tar","K1","K2_tar","K2","cost_proxy","T_fd_budget","eligible","runtime_sec","l2_error","method","T_fd","K_fd_tar","K_fd","T_fs","b_fs","K_fs_tar","K_fs","experiment_id","config_id","n","p","s_star","s","rep_id","q_selected","T1_selected","T2_selected","seed_data","seed_algo_ts","seed_algo_fs","df_X","df_eps","theta_magnitude","validation_metric","tuning_selection_rule"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,41.7099999999998,0.432829765670211,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,26,0.5,200,8,20490446,20500446,20700446,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.5600000000002,1.07319560535919,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,26,0.5,200,8,20490446,20500446,20700446,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.24000000000001,15.5926314823454,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,26,0.5,200,8,20490446,20500446,20700446,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,41.54,0.449473192711854,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,27,0.5,200,8,20490447,20500447,20700447,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.55,0.733535371547688,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,27,0.5,200,8,20490447,20500447,20700447,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.44000000000005,16.2138346929317,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,27,0.5,200,8,20490447,20500447,20700447,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,40.8,0.37105601551043,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,28,0.5,200,8,20490448,20500448,20700448,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,18.8700000000001,0.803491075768217,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,28,0.5,200,8,20490448,20500448,20700448,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.67999999999984,16.5380452040658,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,28,0.5,200,8,20490448,20500448,20700448,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,41.46,0.34441758746973,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,29,0.5,200,8,20490449,20500449,20700449,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,19.2199999999998,1.0490557008808,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,29,0.5,200,8,20490449,20500449,20700449,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.34000000000015,17.3671447627658,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,29,0.5,200,8,20490449,20500449,20700449,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,41.6100000000001,0.313209355770817,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,30,0.5,200,8,20490450,20500450,20700450,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,18.4499999999998,0.926850782140576,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,30,0.5,200,8,20490450,20500450,20700450,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.80000000000018,16.2044587839504,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,30,0.5,200,8,20490450,20500450,20700450,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,40.6700000000001,0.409041515008917,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,31,0.5,200,8,20490451,20500451,20700451,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,18.6900000000001,1.38411929100991,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,31,0.5,200,8,20490451,20500451,20700451,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FS","linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,TRUE,2.68000000000006,16.5333722129798,"FS",NA,NA,NA,22,81,8,8,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,31,0.5,200,8,20490451,20500451,20700451,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"TS","linear",0.5,0.5,0.5,200,8,900,900,112,15,113,90,8,8,180896,101,TRUE,37.7900000000002,0.434246780083194,"TS",NA,NA,NA,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,32,0.5,200,8,20490452,20500452,20700452,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
"FD","linear",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,101,TRUE,20.0599999999999,0.925950596860607,"FD_budget",101,113,113,NA,NA,NA,NA,"E2_linear_s_sweep","E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb",1800,1800,15,30,32,0.5,200,8,20490452,20500452,20700452,2.5,1.5,5,"median_abs_prediction_error","within_1.05_best_then_min_budget"
