"model","rep_id","iter","l2_error","tp","fp","fn","precision","recall","f1","jaccard_prev","hamming_prev","window_union_size","window_union_false_size","false_effective_width_current"
"linear",1,435,0.332144737997895,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,440,0.331799782640855,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,445,0.331333529140962,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,450,0.330801949068299,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,455,0.330280145030681,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,460,0.329795001741733,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,465,0.329320244081291,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,470,0.328870779209494,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,475,0.328461687293602,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,480,0.328099088239371,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,485,0.327784893452404,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,490,0.327504740846168,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,495,0.327250981877003,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",1,500,0.327038386405723,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,0,4.74513812292805,0,0,10,NA,0,NA,NA,NA,0,0,NA
"linear",2,1,4.64079193418998,10,10,0,0.5,1,0.666666666666667,1,20,20,10,10
"linear",2,2,4.53954445603282,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,3,4.44178604448276,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,4,4.3461119074496,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,5,4.25284153651137,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,6,4.16176739066089,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,7,4.07282278486938,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,8,3.98579917804779,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,9,3.90067944296754,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,10,3.8175924650652,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,11,3.73636915595725,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,12,3.65694589214865,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,13,3.57974305031372,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,14,3.50469220834451,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,15,3.43201460626548,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
