"p","n","rep_id","method","l2_error","df_x","scale_x","q","T1","T2","c_K1","c_K2","K1","K2","K1_block_size","K2_block_size","ts_eligible","seed_data","seed_ts"
600,1600,5,"Shrinkage",1.30128433158808,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600005,3600005
600,2000,5,"TS-RIGHT",0.656855360303894,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000005,4000005
600,2000,5,"IHT",0.493235986379238,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000005,4000005
600,2000,5,"Lasso",1.40558566700608,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000005,4000005
600,2000,5,"Shrinkage",1.23341146985694,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000005,4000005
600,600,6,"TS-RIGHT",0.360492162433688,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600006,2600006
600,600,6,"IHT",0.537223738426745,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600006,2600006
600,600,6,"Lasso",1.74305231292216,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600006,2600006
600,600,6,"Shrinkage",1.50229290306366,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600006,2600006
600,800,6,"TS-RIGHT",0.285368587619172,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800006,2800006
600,800,6,"IHT",0.400702726501642,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800006,2800006
600,800,6,"Lasso",1.43277884599602,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800006,2800006
600,800,6,"Shrinkage",1.43899055655009,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800006,2800006
600,1200,6,"TS-RIGHT",1.01078376574454,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200006,3200006
600,1200,6,"IHT",0.578214643055235,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200006,3200006
600,1200,6,"Lasso",1.65179441119258,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200006,3200006
600,1200,6,"Shrinkage",1.3589780172124,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200006,3200006
600,1600,6,"TS-RIGHT",0.424436046619366,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600006,3600006
600,1600,6,"IHT",0.486899187943559,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600006,3600006
600,1600,6,"Lasso",1.39496441530655,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600006,3600006
600,1600,6,"Shrinkage",1.16675879102253,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600006,3600006
600,2000,6,"TS-RIGHT",0.339485599261587,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000006,4000006
600,2000,6,"IHT",0.498608654173966,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000006,4000006
600,2000,6,"Lasso",1.45766481498611,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000006,4000006
600,2000,6,"Shrinkage",1.15634498261818,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000006,4000006
600,600,7,"TS-RIGHT",0.273020130817654,2.05,4,0.2,2000,2,0.75,0.5,24,4,20,15,TRUE,1600007,2600007
600,600,7,"IHT",0.460195197393949,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600007,2600007
600,600,7,"Lasso",1.53844811831901,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600007,2600007
600,600,7,"Shrinkage",1.34706418624584,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1600007,2600007
600,800,7,"TS-RIGHT",0.16084197044547,2.05,4,0.2,2000,2,0.75,0.5,24,4,26.6666666666667,20,TRUE,1800007,2800007
600,800,7,"IHT",0.490275777005771,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800007,2800007
600,800,7,"Lasso",1.64198679067722,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800007,2800007
600,800,7,"Shrinkage",1.44858733423777,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,1800007,2800007
600,1200,7,"TS-RIGHT",0.183916439833817,2.05,4,0.2,2000,2,0.75,0.5,24,4,40,30,TRUE,2200007,3200007
600,1200,7,"IHT",0.463774492222035,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200007,3200007
600,1200,7,"Lasso",1.37127807191035,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200007,3200007
600,1200,7,"Shrinkage",1.42510056628875,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2200007,3200007
600,1600,7,"TS-RIGHT",0.331483565205319,2.05,4,0.2,2000,2,0.75,0.5,24,4,53.3333333333333,40,TRUE,2600007,3600007
600,1600,7,"IHT",0.54149902620877,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600007,3600007
600,1600,7,"Lasso",1.42305264034581,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600007,3600007
600,1600,7,"Shrinkage",1.20156592238005,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,2600007,3600007
600,2000,7,"TS-RIGHT",0.660364980946862,2.05,4,0.2,2000,2,0.75,0.5,24,4,66.6666666666667,50,TRUE,3000007,4000007
600,2000,7,"IHT",0.510661913062532,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000007,4000007
600,2000,7,"Lasso",1.34356585401976,2.05,4,0.2,2000,2,0.75,0.5,NA,NA,NA,NA,NA,3000007,4000007
