"n","p","rep_id","method","l2_error","runtime_sec","seed_data","seed_split","seed_algo","tuning_config_id","q","T1","T2","T_fd_budget","eta","T","lambda","tau","tau_q"
2000,800,4,"Shrinkage",1.12831554947136,15.71,20900511,21000511,21400511,NA,NA,NA,NA,NA,NA,NA,0.620145424020566,3.55546486668644,0.95
2400,800,4,"TS-RIGHT",0.204699582803694,7.28,20910511,21010511,21110511,"TS_n2400_h2202f38e",0.5,150,8,76,0.02,NA,NA,NA,NA
2400,800,4,"IHT",1.82489662924995,9.6,20910511,21010511,NA,"IHT_n2400_h1d7d87f6",NA,NA,NA,NA,0.01,200,NA,NA,NA
2400,800,4,"Lasso",3.23841378242493,11.88,20910511,21010511,21210511,NA,NA,NA,NA,NA,NA,NA,4.14891004873215,NA,NA
2400,800,4,"Adaptive Huber",0.276029979227161,441.34,20910511,21010511,21310511,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,13.4065675078324,0.95
2400,800,4,"Shrinkage",1.03758590508821,15.63,20910511,21010511,21410511,NA,NA,NA,NA,NA,NA,NA,0.629991482389281,3.6198118161871,0.95
800,800,5,"TS-RIGHT",0.27843337525687,7.17,20870512,20970512,21070512,"TS_n800_h155f087a",0.5,200,8,101,0.02,NA,NA,NA,NA
800,800,5,"IHT",0.248175932909989,2.1,20870512,20970512,NA,"IHT_n800_h17021d83",NA,NA,NA,NA,0.01,200,NA,NA,NA
800,800,5,"Lasso",0.385855842417634,0.68,20870512,20970512,21170512,NA,NA,NA,NA,NA,NA,NA,0.369468569958656,NA,NA
800,800,5,"Adaptive Huber",0.293838078523092,130.05,20870512,20970512,21270512,NA,NA,NA,NA,NA,NA,NA,0.372759372031494,4.80575588824744,0.95
800,800,5,"Shrinkage",1.90208264420887,1.82000000000002,20870512,20970512,21370512,NA,NA,NA,NA,NA,NA,NA,0.681665025042453,3.82423025089598,0.95
1200,800,5,"TS-RIGHT",0.283188319179067,5.82,20880512,20980512,21080512,"TS_n1200_h069793c2",0.5,150,8,76,0.02,NA,NA,NA,NA
1200,800,5,"IHT",0.369810576708001,2.93,20880512,20980512,NA,"IHT_n1200_h2051495b",NA,NA,NA,NA,0.01,200,NA,NA,NA
