"model","rep_id","radius_id","radius","cand_id","K_name","regime","multiplier","K","block_size","q_top","topq_error","l2_error","linf_error","ref_grad_norm"
"linear",3,3,1,2,"K1_global","global",1,160,12,125,3.83373475172734,4.28443147062207,1.4772794012052,5
"linear",3,3,1,2,"K2_c10","local",10,64,31,125,4.3591274221981,5.08122393836622,1.30580481505807,5
"linear",3,3,1,2,"K2_c12","local",12,77,25,125,4.30011695042078,4.95720662418844,1.35915443140297,5
"linear",3,3,1,2,"K2_c14","local",14,90,22,125,4.06886596501573,4.69896084298819,1.30399604673675,5
"linear",3,3,1,3,"K1_global","global",1,160,12,125,3.94441431580356,4.40997931851112,1.89764302553674,5
"linear",3,3,1,3,"K2_c10","local",10,64,31,125,4.5571066273342,5.45895308561164,1.58153424903999,5
"linear",3,3,1,3,"K2_c12","local",12,77,25,125,4.35702566759711,5.08213213337377,1.98670059605473,5
"linear",3,3,1,3,"K2_c14","local",14,90,22,125,4.03894290436069,4.69344429070007,1.6807402136152,5
"linear",3,3,1,4,"K1_global","global",1,160,12,125,4.07826516590997,4.53846836809072,1.87571465196972,5
"linear",3,3,1,4,"K2_c10","local",10,64,31,125,4.61217172058594,5.42296455072989,1.38723382292311,5
"linear",3,3,1,4,"K2_c12","local",12,77,25,125,4.40024819942552,5.12601156644932,1.82672366549363,5
"linear",3,3,1,4,"K2_c14","local",14,90,22,125,4.09321751265958,4.79643702801996,1.58098947593468,5
"linear",3,3,1,5,"K1_global","global",1,160,12,125,3.8352538314847,4.25016634420249,1.91501438554186,5
"linear",3,3,1,5,"K2_c10","local",10,64,31,125,4.32170764440091,5.02164827532153,1.49812790548219,5
"linear",3,3,1,5,"K2_c12","local",12,77,25,125,4.33450833603426,4.9611314271794,1.70742100651404,5
"linear",3,3,1,5,"K2_c14","local",14,90,22,125,3.96122338152261,4.54796457266279,1.37109263493806,5
"linear",3,3,1,6,"K1_global","global",1,160,12,125,3.97453764207567,4.40583457903106,1.80720073007834,5
"linear",3,3,1,6,"K2_c10","local",10,64,31,125,4.54852284714873,5.23995842231317,1.65649549393589,5
"linear",3,3,1,6,"K2_c12","local",12,77,25,125,4.22138039313998,4.87742478464771,1.6218530923424,5
"linear",3,3,1,6,"K2_c14","local",14,90,22,125,4.08703619287279,4.60734541890874,1.61818723424657,5
"linear",3,3,1,7,"K1_global","global",1,160,12,125,3.92626270674397,4.43871479746312,1.81181673713798,5
"linear",3,3,1,7,"K2_c10","local",10,64,31,125,4.67409156158713,5.49001568365355,1.65757495955983,5
"linear",3,3,1,7,"K2_c12","local",12,77,25,125,4.34824611928794,5.040981321048,1.79659380499919,5
"linear",3,3,1,7,"K2_c14","local",14,90,22,125,4.01451554544289,4.65688213244361,1.84100769354808,5
"linear",3,3,1,8,"K1_global","global",1,160,12,125,3.83745260511961,4.30681261129859,2.34318384211443,5
"linear",3,3,1,8,"K2_c10","local",10,64,31,125,4.4047152132677,5.1316889084751,1.70864599937515,5
"linear",3,3,1,8,"K2_c12","local",12,77,25,125,4.23724993504776,4.98717491392055,2.02693861331248,5
"linear",3,3,1,8,"K2_c14","local",14,90,22,125,4.1545022340373,4.76928463525156,2.2003054566021,5
"linear",3,3,1,9,"K1_global","global",1,160,12,125,3.94236463913843,4.38681137763096,1.7616322045664,5
"linear",3,3,1,9,"K2_c10","local",10,64,31,125,4.41463795012191,5.25334816716961,1.45959535143609,5
"linear",3,3,1,9,"K2_c12","local",12,77,25,125,4.3353655119309,5.06215883053272,1.57494971665386,5
"linear",3,3,1,9,"K2_c14","local",14,90,22,125,4.15180702126017,4.75829015938808,1.73749400651084,5
"linear",3,3,1,10,"K1_global","global",1,160,12,125,3.91484085434094,4.35438870699256,1.47881784734556,5
"linear",3,3,1,10,"K2_c10","local",10,64,31,125,4.54004910096231,5.26864077004207,1.43069181454924,5
"linear",3,3,1,10,"K2_c12","local",12,77,25,125,4.24932021525816,4.83384283062597,1.41452513308297,5
"linear",3,3,1,10,"K2_c14","local",14,90,22,125,4.10595435215637,4.65207022712711,1.37557296099282,5
"linear",3,3,1,11,"K1_global","global",1,160,12,125,3.96202689082077,4.42608610560363,1.79852929939617,5
"linear",3,3,1,11,"K2_c10","local",10,64,31,125,4.74940427265187,5.47882742905715,1.65019429243173,5
"linear",3,3,1,11,"K2_c12","local",12,77,25,125,4.31916288040443,4.95265525014495,1.5791079951552,5
"linear",3,3,1,11,"K2_c14","local",14,90,22,125,4.26588861749533,4.83324190903576,1.4958907661797,5
"linear",3,3,1,12,"K1_global","global",1,160,12,125,4.02819951921815,4.46889987779995,2.34843518481631,5
"linear",3,3,1,12,"K2_c10","local",10,64,31,125,4.60162639563047,5.40013673770274,1.96636070956041,5
"linear",3,3,1,12,"K2_c12","local",12,77,25,125,4.47506151296756,5.22864245085063,2.14290723589873,5
"linear",3,3,1,12,"K2_c14","local",14,90,22,125,4.26926771841837,4.8801943975689,2.13831563416596,5
"linear",3,4,0.5,1,"K1_global","global",1,160,12,125,2.53466047360858,2.97340899657827,0.800724632581543,2.5
"linear",3,4,0.5,1,"K2_c10","local",10,64,31,125,3.32701664461363,3.99252991522404,0.759867389031215,2.5
"linear",3,4,0.5,1,"K2_c12","local",12,77,25,125,2.80883590259854,3.35822146168419,0.597806283298605,2.5
"linear",3,4,0.5,1,"K2_c14","local",14,90,22,125,2.76692136141437,3.27998333190664,0.636079275068898,2.5
"linear",3,4,0.5,2,"K1_global","global",1,160,12,125,2.32909273595574,2.73565396244744,0.838300176706033,2.5
"linear",3,4,0.5,2,"K2_c10","local",10,64,31,125,3.06107236327636,3.68216509417787,0.78291170860824,2.5
"linear",3,4,0.5,2,"K2_c12","local",12,77,25,125,2.89659664657086,3.49926826152444,0.777598318782146,2.5
