"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=150, T2=8)","TS",54,1.58970108428221,1.44174194897206,1.71377385353249,100
"TS (q=0.25, T1=150, T2=8)","TS",55,1.5296563516059,1.38568942078874,1.65108419857603,100
"TS (q=0.25, T1=150, T2=8)","TS",56,1.47144686295011,1.33070847224836,1.59309818826202,100
"TS (q=0.25, T1=150, T2=8)","TS",57,1.41435329510397,1.28164481831477,1.53726710718012,100
"TS (q=0.25, T1=150, T2=8)","TS",58,1.35965007084054,1.23491379335951,1.48320477268732,100
"TS (q=0.25, T1=150, T2=8)","TS",59,1.30813707446453,1.18526549935318,1.43082524687945,100
"TS (q=0.25, T1=150, T2=8)","TS",60,1.25870285005273,1.13886390261018,1.38019403553593,100
"TS (q=0.25, T1=150, T2=8)","TS",61,1.2117933167584,1.09382348667796,1.33198997001237,100
"TS (q=0.25, T1=150, T2=8)","TS",62,1.16681726014357,1.04680381353821,1.28562862330068,100
"TS (q=0.25, T1=150, T2=8)","TS",63,1.12340057096581,1.00208134748155,1.24074802748874,100
"TS (q=0.25, T1=150, T2=8)","TS",64,1.08078850519033,0.963094261826007,1.19722781619296,100
"TS (q=0.25, T1=150, T2=8)","TS",65,1.03866950473932,0.925288640328161,1.15407387326815,100
"TS (q=0.25, T1=150, T2=8)","TS",66,0.998530381377804,0.886457050534326,1.11041150267462,100
"TS (q=0.25, T1=150, T2=8)","TS",67,0.959674233834411,0.850650329625967,1.06585152165103,100
"TS (q=0.25, T1=150, T2=8)","TS",68,0.923591667628284,0.819259726262937,1.02286802932326,100
"TS (q=0.25, T1=150, T2=8)","TS",69,0.888851295681023,0.791372999538482,0.981637544360223,100
"TS (q=0.25, T1=150, T2=8)","TS",70,0.853609848536186,0.758742672919722,0.94419788256989,100
"TS (q=0.25, T1=150, T2=8)","TS",71,0.819758460819939,0.729607271556268,0.91153641917792,100
"TS (q=0.25, T1=150, T2=8)","TS",72,0.788192500261648,0.703588632616963,0.879465530491287,100
"TS (q=0.25, T1=150, T2=8)","TS",73,0.758260133694702,0.67922648622689,0.849724323393321,100
"TS (q=0.25, T1=150, T2=8)","TS",74,0.730336261923369,0.653998063403759,0.820679791071397,100
